State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
Illinois,2000,2589026,22,2019421,,133676,,569605,569605,4608447,4742123,22,8432600
Indiana,2000,901980,,1245836,12,51486,,343856,-343856,2147816,2199302,12,4424909
Iowa,2000,638517,7,634373,,42673,,4144,4144,1272890,1315563,7,2082950
Kansas,2000,399276,,622332,6,50610,,223056,-223056,1021608,1072218,6,1927950
Kentucky,2000,638898,,872492,8,32797,,233594,-233594,1511390,1544187,8,2955628
Louisiana,2000,792344,,927871,9,45441,,135527,-135527,1720215,1765656,9,3130267
Maine,2000,319951,4,286616,,45250,,33335,33335,606567,651817,4,969292
Maryland,2000,1145782,10,813797,,65901,,331985,331985,1959579,2025480,10,3649631
Massachusetts,2000,1616487,12,878502,,207995,,737985,737985,2494989,2702984,12,4517052
Michigan,2000,2170418,18,1953139,,108944,,217279,217279,4123557,4232501,18,7070702
Minnesota,2000,1168266,10,1109659,,160760,,58607,58607,2277925,2438685,10,3506432
Mississippi,2000,404614,,572844,7,16726,,168230,-168230,977458,994184,7,2024650
Missouri,2000,1111138,,1189924,11,58830,,78786,-78786,2301062,2359892,11,4052255
Montana,2000,137126,,240178,3,33693,,103052,-103052,377304,410997,3,667525
Nebraska,2000,231780,,433862,5,31377,,202082,-202082,665642,697019,5,1224178
Nevada,2000,279978,,301575,4,27417,,21597,-21597,581553,608970,4,1346116
New Hampshire,2000,266348,,273559,4,29174,,7211,-7211,539907,569081,4,890622
New Jersey,2000,1788850,15,1284173,,114203,,504677,504677,3073023,3187226,15,5601788
New Mexico,2000,286783,5,286417,,25405,,366,366,573200,598605,5,1234088
New York,2000,4107697,33,2403374,,310928,,1704323,1704323,6511071,6821999,33,12380208
North Carolina,2000,1257692,,1631163,14,22407,,373471,-373471,2888855,2911262,14,5744241
North Dakota,2000,95284,,174852,3,18120,,79568,-79568,270136,288256,3,477968
Ohio,2000,2186190,,2351209,21,168058,,165019,-165019,4537399,4705457,21,8295592
Oklahoma,2000,474276,,744337,8,15616,,270061,-270061,1218613,1234229,8,2475220
Oregon,2000,720342,7,713577,,100049,,6765,6765,1433919,1533968,7,2364402
Pennsylvania,2000,2485967,23,2281127,,146025,,204840,204840,4767094,4913119,23,9086897
